No.,Time,Source,Destination,Protocol,Length,Info,attack,label_scenario,syn_flag,ack_flag,syn_ack_flag,fin_flag,rst_flag,is_retransmission,is_modbus,is_tcp,is_udp,src_port,dst_port,packet_length,time_delta,is_syn_only,syn_ack_ratio,half_open_conn_count,same_src_ip_freq,syn_packet_density,retransmission_rate,unique_dst_port_count,avg_time_between_syns,split
157951,2018.876014,10.128.187.49,10.128.187.151,TCP,54,"80  >  60543 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0",0,outside_logged_window,0,0,0,0,1,0,0,1,0,80.0,60543.0,54.0,7.600000003549212e-05,0,25.0,25.0,0.5,84.73260761548835,0.0,26,0.0122904083333329,train
157952,2018.8881024,10.128.187.151,10.128.187.49,TCP,54,[TCP Port numbers reused] 60572  >  80 [SYN] Seq=0 Win=512 Len=0,0,outside_logged_window,1,0,0,0,0,0,0,1,0,60572.0,80.0,54.0,0.0120884000000387,1,25.0,25.0,0.5,81.41739212274796,0.0,26,0.0124907166666616,test
157953,2018.8881783,10.128.187.49,10.128.187.151,TCP,54,"80  >  60572 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0",0,outside_logged_window,0,0,0,0,1,0,0,1,0,80.0,60572.0,54.0,7.589999995616381e-05,0,25.0,25.0,0.5,83.37415887984359,0.0,26,0.0124907166666616,train
157954,2018.8962499,10.128.187.151,10.128.187.49,TCP,54,[TCP Port numbers reused] 60611  >  80 [SYN] Seq=0 Win=512 Len=0,0,outside_logged_window,1,0,0,0,0,0,0,1,0,60611.0,80.0,54.0,0.0080715999999938,1,25.0,25.0,0.5,81.2105702379047,0.0,26,0.0123178208333267,train
157955,2018.8963252,10.128.187.49,10.128.187.151,TCP,54,"80  >  60611 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0",0,outside_logged_window,0,0,0,0,1,0,0,1,0,80.0,60611.0,54.0,7.530000016231497e-05,0,25.0,25.0,0.5,84.54428937142922,0.0,26,0.0123178208333267,test
157956,2018.9072715,10.128.187.151,10.128.187.49,TCP,54,[TCP Port numbers reused] 60544  >  80 [SYN] Seq=0 Win=512 Len=0,0,outside_logged_window,1,0,0,0,0,0,0,1,0,60544.0,80.0,54.0,0.0109462999998868,1,25.0,25.0,0.5,81.54677930997723,0.0,26,0.0123625833333278,train
157957,2018.9073533,10.128.187.49,10.128.187.151,TCP,54,"80  >  60544 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0",0,outside_logged_window,0,0,0,0,1,0,0,1,0,80.0,60544.0,54.0,8.180000008906063e-05,0,25.0,25.0,0.5,84.2364037390302,0.0,26,0.0123625833333278,train
157958,2018.9182912,10.128.187.151,10.128.187.49,TCP,54,[TCP Port numbers reused] 60575  >  80 [SYN] Seq=0 Win=512 Len=0,0,outside_logged_window,1,0,0,0,0,0,0,1,0,60575.0,80.0,54.0,0.0109379000000444,1,25.0,25.0,0.5,81.26217713720818,0.0,26,0.0118918583333424,train
157959,2018.9183665,10.128.187.49,10.128.187.151,TCP,54,"80  >  60575 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0",0,outside_logged_window,0,0,0,0,1,0,0,1,0,80.0,60575.0,54.0,7.52999999349413e-05,0,25.0,25.0,0.5,87.57183955853436,0.0,26,0.0118918583333424,train
157960,2018.9286273,10.128.187.151,10.128.187.49,TCP,54,[TCP Port numbers reused] 60552  >  80 [SYN] Seq=0 Win=512 Len=0,0,outside_logged_window,1,0,0,0,0,0,0,1,0,60552.0,80.0,54.0,0.010260799999969,1,25.0,25.0,0.5,84.55498373835111,0.0,26,0.0118758541666655,train
