No.,Time,Source,Destination,Protocol,Length,Info,attack
1,0.0,192.168.56.113,192.168.56.112,TCP,74,40612  >  502 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=4162632556 TSecr=0 WS=128,0
2,4.8834e-05,192.168.56.112,192.168.56.113,TCP,74,"502  >  40612 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2257472081 TSecr=4162632556 WS=128",0
3,0.00058293,192.168.56.113,192.168.56.112,TCP,66,40612  >  502 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=4162632557 TSecr=2257472081,0
4,0.001034872,192.168.56.113,192.168.56.112,Modbus/TCP,78,"   Query: Trans: 52673; Unit:   1, Func:   3: Read Holding Registers",0
5,0.001046228,192.168.56.112,192.168.56.113,TCP,66,502  >  40612 [ACK] Seq=1 Ack=13 Win=65152 Len=0 TSval=2257472082 TSecr=4162632557,0
6,0.002290012,192.168.56.112,192.168.56.113,Modbus/TCP,85,"Response: Trans: 52673; Unit:   1, Func:   3: Read Holding Registers",0
7,0.002811362,192.168.56.113,192.168.56.112,TCP,66,40612  >  502 [ACK] Seq=13 Ack=20 Win=64256 Len=0 TSval=4162632559 TSecr=2257472083,0
8,0.003588249,192.168.56.113,192.168.56.112,Modbus/TCP,78,"   Query: Trans: 35755; Unit:   1, Func:   6: Write Single Register",0
9,0.003966493,192.168.56.112,192.168.56.113,Modbus/TCP,78,"Response: Trans: 35755; Unit:   1, Func:   6: Write Single Register",0
10,0.004700256,192.168.56.113,192.168.56.112,Modbus/TCP,78,"   Query: Trans: 42005; Unit:   1, Func:   6: Write Single Register",0
11,0.005018429,192.168.56.112,192.168.56.113,Modbus/TCP,78,"Response: Trans: 42005; Unit:   1, Func:   6: Write Single Register",0
12,0.005394953,192.168.56.113,192.168.56.112,Modbus/TCP,78,"   Query: Trans: 40462; Unit:   1, Func:   6: Write Single Register",0
13,0.005634047,192.168.56.112,192.168.56.113,Modbus/TCP,78,"Response: Trans: 40462; Unit:   1, Func:   6: Write Single Register",0
14,0.006016238,192.168.56.113,192.168.56.112,Modbus/TCP,78,"   Query: Trans:  6566; Unit:   1, Func:   6: Write Single Register",0
15,0.006266922,192.168.56.112,192.168.56.113,Modbus/TCP,78,"Response: Trans:  6566; Unit:   1, Func:   6: Write Single Register",0
16,0.006728662,192.168.56.113,192.168.56.112,Modbus/TCP,78,"   Query: Trans: 50129; Unit:   1, Func:   6: Write Single Register",0
17,0.006960428,192.168.56.112,192.168.56.113,Modbus/TCP,78,"Response: Trans: 50129; Unit:   1, Func:   6: Write Single Register",0
18,0.048616523,192.168.56.113,192.168.56.112,TCP,66,40612  >  502 [ACK] Seq=73 Ack=80 Win=64256 Len=0 TSval=4162632605 TSecr=2257472088,0
19,0.425386033,192.168.56.113,192.168.56.112,Modbus/TCP,78,"   Query: Trans: 57694; Unit:   1, Func:   3: Read Holding Registers",0
20,0.426309553,192.168.56.112,192.168.56.113,Modbus/TCP,85,"Response: Trans: 57694; Unit:   1, Func:   3: Read Holding Registers",0
21,0.426684839,192.168.56.113,192.168.56.112,TCP,66,40612  >  502 [ACK] Seq=85 Ack=99 Win=64256 Len=0 TSval=4162632983 TSecr=2257472507,0
22,0.426937974,192.168.56.113,192.168.56.112,Modbus/TCP,78,"   Query: Trans: 53063; Unit:   1, Func:   6: Write Single Register",0
23,0.428226198,192.168.56.112,192.168.56.113,Modbus/TCP,78,"Response: Trans: 53063; Unit:   1, Func:   6: Write Single Register",0
24,0.428678405,192.168.56.113,192.168.56.112,Modbus/TCP,78,"   Query: Trans: 64881; Unit:   1, Func:   6: Write Single Register",0
25,0.42900982,192.168.56.112,192.168.56.113,Modbus/TCP,78,"Response: Trans: 64881; Unit:   1, Func:   6: Write Single Register",0
26,0.429458376,192.168.56.113,192.168.56.112,Modbus/TCP,78,"   Query: Trans:  5681; Unit:   1, Func:   6: Write Single Register",0
27,0.429751641,192.168.56.112,192.168.56.113,Modbus/TCP,78,"Response: Trans:  5681; Unit:   1, Func:   6: Write Single Register",0
28,0.430367305,192.168.56.113,192.168.56.112,Modbus/TCP,78,"   Query: Trans: 48606; Unit:   1, Func:   6: Write Single Register",0
29,0.430624813,192.168.56.112,192.168.56.113,Modbus/TCP,78,"Response: Trans: 48606; Unit:   1, Func:   6: Write Single Register",0
30,0.431824218,192.168.56.113,192.168.56.112,Modbus/TCP,78,"   Query: Trans:  1154; Unit:   1, Func:   6: Write Single Register",0
31,0.432123419,192.168.56.112,192.168.56.113,Modbus/TCP,78,"Response: Trans:  1154; Unit:   1, Func:   6: Write Single Register",0
32,0.476297135,192.168.56.113,192.168.56.112,TCP,66,40612  >  502 [ACK] Seq=145 Ack=159 Win=64256 Len=0 TSval=4162633033 TSecr=2257472513,0
33,0.833548862,192.168.56.113,192.168.56.112,Modbus/TCP,78,"   Query: Trans: 49561; Unit:   1, Func:   3: Read Holding Registers",0
34,0.834975069,192.168.56.112,192.168.56.113,Modbus/TCP,85,"Response: Trans: 49561; Unit:   1, Func:   3: Read Holding Registers",0
35,0.835422147,192.168.56.113,192.168.56.112,TCP,66,40612  >  502 [ACK] Seq=157 Ack=178 Win=64256 Len=0 TSval=4162633392 TSecr=2257472916,0
36,0.835586856,192.168.56.113,192.168.56.112,Modbus/TCP,78,"   Query: Trans: 40057; Unit:   1, Func:   6: Write Single Register",0
37,0.835950275,192.168.56.112,192.168.56.113,Modbus/TCP,78,"Response: Trans: 40057; Unit:   1, Func:   6: Write Single Register",0
38,0.836421357,192.168.56.113,192.168.56.112,Modbus/TCP,78,"   Query: Trans: 20622; Unit:   1, Func:   6: Write Single Register",0
39,0.836654452,192.168.56.112,192.168.56.113,Modbus/TCP,78,"Response: Trans: 20622; Unit:   1, Func:   6: Write Single Register",0
40,0.837132291,192.168.56.113,192.168.56.112,Modbus/TCP,78,"   Query: Trans:  2095; Unit:   1, Func:   6: Write Single Register",0
41,0.837341117,192.168.56.112,192.168.56.113,Modbus/TCP,78,"Response: Trans:  2095; Unit:   1, Func:   6: Write Single Register",0
42,0.837768034,192.168.56.113,192.168.56.112,Modbus/TCP,78,"   Query: Trans: 28917; Unit:   1, Func:   6: Write Single Register",0
43,0.837978327,192.168.56.112,192.168.56.113,Modbus/TCP,78,"Response: Trans: 28917; Unit:   1, Func:   6: Write Single Register",0
44,0.8386185,192.168.56.113,192.168.56.112,Modbus/TCP,78,"   Query: Trans: 22841; Unit:   1, Func:   6: Write Single Register",0
45,0.838821391,192.168.56.112,192.168.56.113,Modbus/TCP,78,"Response: Trans: 22841; Unit:   1, Func:   6: Write Single Register",0
46,0.880255188,192.168.56.113,192.168.56.112,TCP,66,40612  >  502 [ACK] Seq=217 Ack=238 Win=64256 Len=0 TSval=4162633437 TSecr=2257472920,0
47,1.188989435,192.168.56.113,192.168.56.112,Modbus/TCP,78,"   Query: Trans: 57322; Unit:   1, Func:   3: Read Holding Registers",0
48,1.189859202,192.168.56.112,192.168.56.113,Modbus/TCP,85,"Response: Trans: 57322; Unit:   1, Func:   3: Read Holding Registers",0
49,1.190199148,192.168.56.113,192.168.56.112,TCP,66,40612  >  502 [ACK] Seq=229 Ack=257 Win=64256 Len=0 TSval=4162633747 TSecr=2257473271,0
